Product_Name,Link,Rating,Reviews,Price
Apple iPhone 13 (128GB) - Midnight,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTMxNTI1Nzc0Nzk4NDcwOjE3MjY2ODc4Nzg6c3BfbXRmOjIwMDc5NjgyODUxMTAzOjowOjo&url=%2FApple-iPhone-13-128GB-Midnight%2Fdp%2FB09G9HD6PD%2Fref%3Dsr_1_11_sspa%3Fcrid%3D3GK5FSN2G3LR9%26dib%3DeyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1726687878%26sprefix%3D%252Caps%252C228%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.5 out of 5 stars,"29,065","48,900"
"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,256GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTMxNTI1Nzc0Nzk4NDcwOjE3MjY2ODc4Nzg6c3BfbXRmOjMwMDI2MTExMDgxMjMzMjo6MDo6&url=%2FSamsung-Thunder-Storage-Corning-Gorilla%2Fdp%2FB0D812G7FL%2Fref%3Dsr_1_12_sspa%3Fcrid%3D3GK5FSN2G3LR9%26dib%3DeyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1726687878%26sprefix%3D%252Caps%252C228%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.1 out of 5 stars,"1,452","24,499"
"itel A50|6.6"" HD+ Display with Dynamic Bar| 3GB RAM +64GB ROM, Upto 8GB RAM with Memory Fusion|Octacore Processor|8MP AI Dual Rear Cam|5000 mAh Battery | Misty Black",https://www.amazon.in/Display-Dynamic-Octacore-Processor-Battery/dp/B0DBHYQ65L/ref=sr_1_13?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-13,3.9 out of 5 stars,16,"5,999"
"Samsung Galaxy M14 4G (Sapphire Blue,4GB,64GB) | 50MP Triple Cam | 5000mAh Battery | Snapdragon 680 Processor | 2 Gen. OS Upgrade & 4 Year Security Update | 8GB RAM with RAM Plus | Without Charger",https://www.amazon.in/Samsung-Sapphire-Snapdragon-Processor-Security/dp/B0CV7KZLL4/ref=sr_1_14?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-14,3.9 out of 5 stars,215,"8,368"
"realme NARZO N61 (Voyage Blue,4GB RAM+64GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D945V84N/ref=sr_1_15?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-15,3.9 out of 5 stars,153,"7,498"
"Samsung Galaxy F15 5G (Ash Black, 6GB RAM, 128 GB Storage)",https://www.amazon.in/Samsung-Galaxy-F15-Black-Storage/dp/B0CY8FR4R7/ref=sr_1_16?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-16,3.8 out of 5 stars,247,"13,195"
"vivo Y18i (Space Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers |Without Charger",https://www.amazon.in/Storage-Additional-Exchange-Without-Charger/dp/B07WHQZ93Z/ref=sr_1_17?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-17,2.6 out of 5 stars,13,"7,999"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 128GB Storage)",https://www.amazon.in/OnePlus-Nord-Pastel-128GB-Storage/dp/B0BY8JZ22K/ref=sr_1_18?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-18,4.2 out of 5 stars,"50,084","16,548"
POCO C65 (Pastel Green 4GB RAM 128GB Storage),https://www.amazon.in/POCO-Pastel-Green-128GB-Storage/dp/B0CY299SKS/ref=sr_1_19?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-19,4.0 out of 5 stars,"2,210","6,799"
POCO C61 Diamond Dust Black 4GB RAM 64GB ROM,https://www.amazon.in/POCO-Diamond-Dust-Black-64GB/dp/B0CYBBB82G/ref=sr_1_20?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-20,3.2 out of 5 stars,14,"6,298"
