title,price,rating,reviews,availability
Apple iPhone 13 (128GB) - Pink,,Previous page of related Sponsored Products,,Not Available
Apple iPhone 14 (128 GB) - Midnight,,4.6 out of 5 stars,"1,228 ratings",Not Available
